section,exclude_start_mm,exclude_end_mm,notes
SC-1ABC-2-3C-A-RUN1,,,Review QC plot
SC-1ABC-2-3C-RUN2-B,,,Review QC plot
SC-1ABC-2-3C-RUN2-C,,,Review QC plot
SC-3AB-4ABCD-A,,,Review QC plot
SC-3AB-4ABCD-B,,,Review QC plot
SC-3AB-4ABCD-C,,,Review QC plot
SC-3AB-4ABCD-D,,,Review QC plot
SC-3AB-4ABCD-RUN2-D,,,Review QC plot
SC-3AB-4ABCD-RUN2-E,,,Review QC plot
SC-3AB-4ABCD-RUN2-F,,,Review QC plot
SC-5-6-7ABC-A,,,Review QC plot
SC-5-6-7ABC-B,,,Review QC plot
SC-5-6-7ABC-C,,,Review QC plot
SC-5-6-7ABC-D,,,Review QC plot
SC-5-6-7ABC-E,,,Review QC plot
SC8-A,,,Review QC plot
TAM-1-2-3B-A,,,Review QC plot
TAM-1-2-3B-B,,,Review QC plot
TAM-1-2-3B-C,,,Review QC plot
TAM-3A-4-5CDE-A,,,Review QC plot
TAM-3A-4-5CDE-B,,,Review QC plot
TAM-3A-4-5CDE-RUN2-C,,,Review QC plot
TAM-3A-4-5CDE-RUN2-D,,,Review QC plot
TAM-3A-4-5CDE-RUN2-E,,,Review QC plot
TAM-5AB-6-7-A,,,Review QC plot
TAM-5AB-6-7-B-RUN2,,,Review QC plot
TAM-5AB-6-7-C,,,Review QC plot
